,Area,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
1,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Haveli Dharampura,28.65324701401681,77.232309176437,Hotel
8,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,bloomrooms @ New Delhi Railway Station,28.64553655967833,77.21770059555993,Hotel
10,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Fabindia,28.63201193420627,77.21772910740421,Stores
12,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,The Prime Balaji Deluxe @ New Delhi Railway Station,28.645246634338402,77.21743343727594,Hotel
20,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,The Indian Grill Restaurant,28.646140825017163,77.21513343500447,Restaurant
27,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Hotel Broadway New Delhi,28.641057534471244,77.23790802388555,Hotel
29,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Nai Sarak | नई सड़क,28.65283927807197,77.22870777607294,Stores
52,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Vivek Hotel New Delhi,28.64112120405789,77.21265763730432,Hotel
58,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Chandni Chowk | चाँदनी चौक (Chandni Chowk),28.656076323925312,77.23073986324933,Market
69,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Kinari Bazaar | किनारी बाजार,28.6548009358371,77.23301890281758,Market
73,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Radisson Blu Marina Hotel,28.633896819447788,77.21724092960358,Hotel
77,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Hotel Amax,28.646791218889298,77.21329464744466,Hotel
87,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Hotel Hari Piorko,28.641100947236374,77.2141135891901,Hotel
89,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Hotel City Star,28.64466061517661,77.21487207885538,Hotel
91,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Hotel Grand Godwin,28.64590912257855,77.21533022876963,Hotel
94,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,The Pearl Hotel,28.64485913887009,77.21419830186179,Hotel
96,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Parathe Wali Gali | पराँठे वाली गली,28.65609952896119,77.2304785201278,Market
97,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Cottage Yes Please,28.641060546574657,77.21037510655337,Hotel
106,A G C R,28.630798037285533,77.27580261992854,V3S Mall,28.631342857167073,77.27839965479477,Shopping Mall
109,A G C R,28.630798037285533,77.27580261992854,Laxmi Nagar Metro Station,28.630600489340658,77.2776814216999,Commute
111,A G C R,28.630798037285533,77.27580261992854,V3S East Centre Mall,28.63715376841017,77.28671550750732,Shopping Mall
113,A G C R,28.630798037285533,77.27580261992854,Yamuna Bank Metro Station,28.623233994362028,77.26812513656003,Commute
121,Ansari Road,28.646000000000072,77.24387000000007,Haveli Dharampura,28.65324701401681,77.232309176437,Hotel
122,Ansari Road,28.646000000000072,77.24387000000007,Hotel Broadway New Delhi,28.641057534471244,77.23790802388555,Hotel
131,Ansari Road,28.646000000000072,77.24387000000007,Nai Sarak | नई सड़क,28.65283927807197,77.22870777607294,Stores
135,Ansari Road,28.646000000000072,77.24387000000007,Chandni Chowk | चाँदनी चौक (Chandni Chowk),28.656076323925312,77.23073986324933,Market
137,Ansari Road,28.646000000000072,77.24387000000007,Kinari Bazaar | किनारी बाजार,28.6548009358371,77.23301890281758,Market
147,Ansari Road,28.646000000000072,77.24387000000007,Tara Palace Daryaganj,28.649744,77.243302,Hotel
148,Ansari Road,28.646000000000072,77.24387000000007,Parathe Wali Gali | पराँठे वाली गली,28.65609952896119,77.2304785201278,Market
149,Ansari Road,28.646000000000072,77.24387000000007,Meena Bazar | मीना बाज़ार,28.65050142436041,77.23615110703864,Market
160,Aliganj,28.583540000000028,77.21856000000008,Lodhi Gardens (लोधी बाग़) (Lodhi Gardens),28.591424087968747,77.22089907148106,Sports
166,Aliganj,28.583540000000028,77.21856000000008,Thyagraj Sports Complex,28.57752844755504,77.21815944676437,Sports
167,Aliganj,28.583540000000028,77.21856000000008,Elma's Brasserie,28.584492612321917,77.22664730184378,Restaurant
174,Aliganj,28.583540000000028,77.21856000000008,The Claridges,28.600705467708647,77.21660146431111,Hotel
190,Aliganj,28.583540000000028,77.21856000000008,Defence Colony Market,28.573653048567323,77.23013360885876,Market
196,Aliganj,28.583540000000028,77.21856000000008,Moets Sizzlers,28.573136695769623,77.23043086780952,Restaurant
200,Aliganj,28.583540000000028,77.21856000000008,INA Metro Station,28.574082597586237,77.20929622650146,Commute
204,Aliganj,28.583540000000028,77.21856000000008,Dilli Haat | दिल्ली हाट (Dilli Haat),28.573132169480406,77.20880977789854,Market
215,Aliganj,28.583540000000028,77.21856000000008,South Extension - I Market,28.56824075969489,77.22015380859375,Market
223,Aliganj,28.583540000000028,77.21856000000008,AIIMS Metro Station,28.568243,77.207946,Commute
228,Anand Parbat,28.66596000000004,77.17322000000007,Inderlok Metro Station,28.67324357361059,77.170355245471,Commute
229,Anand Parbat,28.66596000000004,77.17322000000007,Hotel Clark Heights,28.67107841811236,77.17599042164764,Hotel
231,Anand Parbat,28.66596000000004,77.17322000000007,Shastri Nagar | शास्त्री नगर Metro Station,28.67010695812553,77.18190498813311,Commute
232,Anand Parbat,28.66596000000004,77.17322000000007,Patel Park,28.652488484031533,77.16781879054174,Sports
233,Anand Parbat,28.66596000000004,77.17322000000007,Satguru Ram Singh Marg Metro Station,28.66193857935628,77.15747058391571,Commute
235,Anand Parbat,28.66596000000004,77.17322000000007,Ashok Park Main Metro Station,28.671725953209307,77.15528056366817,Commute
236,Anand Parbat,28.66596000000004,77.17322000000007,Hariram Sabziwala,28.65038227162217,77.1647184783959,Market
238,Anand Parbat,28.66596000000004,77.17322000000007,Kanhaiya Nagar | कन्हैया नगर  Metro Station,28.68223129562289,77.1648027270765,Commute
243,Anand Nagar,28.67449000000005,77.16756000000004,Inderlok Metro Station,28.67324357361059,77.170355245471,Commute
245,Anand Nagar,28.67449000000005,77.16756000000004,Kanhaiya Nagar | कन्हैया नगर  Metro Station,28.68223129562289,77.1648027270765,Commute
246,Anand Nagar,28.67449000000005,77.16756000000004,Hotel Clark Heights,28.67107841811236,77.17599042164764,Hotel
247,Anand Nagar,28.67449000000005,77.16756000000004,Shastri Nagar | शास्त्री नगर Metro Station,28.67010695812553,77.18190498813311,Commute
248,Anand Nagar,28.67449000000005,77.16756000000004,J Block Murga Market,28.687143857204767,77.17303504746471,Market
249,Anand Nagar,28.67449000000005,77.16756000000004,Satguru Ram Singh Marg Metro Station,28.66193857935628,77.15747058391571,Commute
250,Anand Nagar,28.67449000000005,77.16756000000004,Major Dhyanchand Sports Complex.,28.689481966742875,77.16352775733044,Sports
256,Army Base,28.64617000000004,77.17691000000008,Jaypee Siddharth,28.6424833171903,77.17554330825806,Hotel
263,Army Base,28.64617000000004,77.17691000000008,Taj Princess Hotel,28.64595642012375,77.18859778070309,Hotel
267,Army Base,28.64617000000004,77.17691000000008,Shankar Road Market,28.637637048251886,77.18151648458134,Market
284,Army Base,28.64617000000004,77.17691000000008,Patel Nagar Metro Station,28.645115035145686,77.16925621032715,Commute
