,Area,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
0,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Naturals Ice Cream,28.634455305513185,77.22213885818994,Ice Cream Shop
1,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Haveli Dharampura,28.65324701401681,77.232309176437,Hotel
2,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Panchayat Paan Parlour,28.634073264989183,77.22264498769991,Indian Restaurant
3,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Sagar Ratna,28.635487253836967,77.22064969494076,Indian Restaurant
4,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Immigrants Project - A Cafe in History,28.634055048338602,77.21886681496603,Café
5,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Warehouse Cafe,28.633775293123456,77.22101540430111,Lounge
6,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Nizam's Kathi Kabab | निजा़म काठी कबाब,28.634857957123064,77.21946245007211,Indian Restaurant
7,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Connaught Place | कनॉट प्लेस (Connaught Place),28.6327309443951,77.22001768275413,Plaza
8,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,bloomrooms @ New Delhi Railway Station,28.64553655967833,77.21770059555993,Hotel
9,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Rajdhani Thali,28.62999946326596,77.2204011327264,Indian Restaurant
10,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Fabindia,28.63201193420627,77.21772910740421,Clothing Store
11,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Odeon Social,28.634414197963707,77.22093550978948,Café
12,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,The Prime Balaji Deluxe @ New Delhi Railway Station,28.645246634338402,77.21743343727594,Hotel
13,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Khan Chacha | खान चाचा | خان چاچا,28.634202294199614,77.22077980678422,Indian Restaurant
14,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,The Drunkyard Cafe,28.641451,77.215506,Tibetan Restaurant
15,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Chaayos,28.631628538643216,77.22036426182864,Café
16,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Wenger's,28.633411895746676,77.21829192902194,Bakery
17,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Karim's | करीम | کریم (Karim's),28.64949759295152,77.2336908547362,Indian Restaurant
18,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Triveni Terrace Cafe,28.62729512040755,77.23267677755523,Café
19,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,HOTEL SARAVANA BHAVAN,28.632319466435003,77.21644531748599,South Indian Restaurant
20,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,The Indian Grill Restaurant,28.646140825017163,77.21513343500447,Restaurant
21,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Farzi Cafe,28.632580798842707,77.22112484247755,Molecular Gastronomy Restaurant
22,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Nathu's Pastry Shop,28.629421564674175,77.23217362373761,Bakery
23,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Tadka,28.640501116044682,77.21320775083299,Indian Restaurant
24,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Bengali Market | बंगाली मार्केट | বাংলা বাজার,28.62949840530067,77.23202048881043,Indian Restaurant
25,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Triveni Kala Sangam | त्रिवेणी कला संगम,28.62727810676408,77.23213690281561,Arcade
26,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,McDonald's,28.64493401837252,77.21398813391185,Fast Food Restaurant
27,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Hotel Broadway New Delhi,28.641057534471244,77.23790802388555,Hotel
28,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Barbeque Nation,28.63025338767433,77.22098501777461,BBQ Joint
29,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Nai Sarak | नई सड़क,28.65283927807197,77.22870777607294,Paper / Office Supplies Store
30,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Nirula's,28.635506399668113,77.2206047835112,Dessert Shop
31,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Chawri Bazaar | चावड़ी बाजार,28.649770989776663,77.22736358642578,Hardware Store
32,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Cafe Coffee Day,28.63609948523326,77.22495786591341,Café
33,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Giani's Di Hatti Rabri Faluda,28.657888576966172,77.22329632154401,Dessert Shop
34,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,"Zen Chinese, Connaught Place",28.633657822271832,77.21949493258369,Chinese Restaurant
35,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Fresc Co,28.628415028106655,77.21954938989002,Italian Restaurant
36,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Starbucks,28.632010831148985,77.21773135560126,Coffee Shop
37,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Domino's Pizza,28.63330076041656,77.22279585941382,Pizza Place
38,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Jama Masjid  |जामा मस्जिद | جامع مسجد (Jama Masjid),28.65048654789679,77.23346292972565,Mosque
39,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Route 04,28.63488981038038,77.22022508672842,Bar
40,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Kake Di Hatti | काके दी हट्टी,28.658049584701654,77.2233770564683,Indian Restaurant
41,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Odeon Pan Shop,28.634233629735867,77.22079782501127,Food & Drink Shop
42,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Chew,28.632001527203066,77.22270642208512,Asian Restaurant
43,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Giani Kulfi,28.657846916335412,77.22323113685417,Dessert Shop
44,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,The Embassy,28.633590069941445,77.22122128391564,Bar
45,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Berco's,28.63240704948879,77.2173230839724,Chinese Restaurant
46,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Parawthe Wale,28.65603318700734,77.23050001546382,Indian Restaurant
47,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Domino's Pizza,28.646,77.211,Pizza Place
48,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Tamasha,28.629663327072745,77.22183483476593,Gastropub
49,Ajmeri Gate Extension,28.643660000000068,77.22883000000007,Malahotra Restaurant,28.641051838211972,77.21033320184107,Indian Restaurant
